,Cabin,Ticket,number,Survived,numerical_data,categorical_data,numerical_cabin,categorical_cabin
30,unavailable,PC 17601,2,0,2.0,unavailable,unavailable,unavailable
31,B78,PC 17569,A,1,3.5,A,78.0,B
32,unavailable,335677,6,1,6.0,unavailable,unavailable,unavailable
33,unavailable,C.A. 24579,2,0,2.0,unavailable,unavailable,unavailable
34,unavailable,PC 17604,2,0,2.0,unavailable,unavailable,unavailable
35,unavailable,113789,2,0,2.0,unavailable,unavailable,unavailable
36,unavailable,2677,4,1,4.0,unavailable,unavailable,unavailable
37,unavailable,A./5. 2152,6,0,6.0,unavailable,unavailable,unavailable
38,unavailable,345764,1,0,1.0,unavailable,unavailable,unavailable
39,unavailable,2651,6,1,6.0,unavailable,unavailable,unavailable
40,unavailable,7546,1,0,1.0,unavailable,unavailable,unavailable
41,unavailable,11668,3,0,3.0,unavailable,unavailable,unavailable
42,unavailable,349253,3,0,3.0,unavailable,unavailable,unavailable
43,unavailable,SC/Paris 2123,A,1,3.5,A,unavailable,unavailable
44,unavailable,330958,A,1,3.5,A,unavailable,unavailable
45,unavailable,S.C./A.4. 23567,1,0,1.0,unavailable,unavailable,unavailable
46,unavailable,370371,3,0,3.0,unavailable,unavailable,unavailable
47,unavailable,14311,1,1,1.0,unavailable,unavailable,unavailable
48,unavailable,2662,6,0,6.0,unavailable,unavailable,unavailable
49,unavailable,349237,6,0,6.0,unavailable,unavailable,unavailable
50,unavailable,3101295,1,0,1.0,unavailable,unavailable,unavailable
51,unavailable,A/4. 39886,A,0,3.5,A,unavailable,unavailable
52,D33,PC 17572,3,1,3.0,unavailable,33.0,D
53,unavailable,2926,4,1,4.0,unavailable,unavailable,unavailable
54,B30,113509,3,0,3.0,unavailable,30.0,B
55,C52,19947,6,1,6.0,unavailable,52.0,C
56,unavailable,C.A. 31026,4,1,4.0,unavailable,unavailable,unavailable
57,unavailable,2697,A,0,3.5,A,unavailable,unavailable
58,unavailable,C.A. 34651,5,1,5.0,unavailable,unavailable,unavailable
59,unavailable,CA 2144,A,0,3.5,A,unavailable,unavailable
60,unavailable,2669,6,0,6.0,unavailable,unavailable,unavailable
61,B28,113572,2,1,2.0,unavailable,28.0,B
62,C83,36973,6,0,6.0,unavailable,83.0,C
63,unavailable,347088,1,0,1.0,unavailable,unavailable,unavailable
64,unavailable,PC 17605,1,0,1.0,unavailable,unavailable,unavailable
65,unavailable,2661,2,1,2.0,unavailable,unavailable,unavailable
66,F33,C.A. 29395,A,1,3.5,A,33.0,F
67,unavailable,S.P. 3464,A,0,3.5,A,unavailable,unavailable
68,unavailable,3101281,4,1,4.0,unavailable,unavailable,unavailable
69,unavailable,315151,A,0,3.5,A,unavailable,unavailable
70,unavailable,C.A. 33111,1,0,1.0,unavailable,unavailable,unavailable
71,unavailable,CA 2144,6,0,6.0,unavailable,unavailable,unavailable
72,unavailable,S.O.C. 14879,3,0,3.0,unavailable,unavailable,unavailable
73,unavailable,2680,1,0,1.0,unavailable,unavailable,unavailable
74,unavailable,1601,6,1,6.0,unavailable,unavailable,unavailable
75,F G73,348123,1,0,1.0,unavailable,73.0,F
76,unavailable,349208,A,0,3.5,A,unavailable,unavailable
77,unavailable,374746,3,0,3.0,unavailable,unavailable,unavailable
78,unavailable,248738,6,1,6.0,unavailable,unavailable,unavailable
79,unavailable,364516,A,1,3.5,A,unavailable,unavailable
80,unavailable,345767,6,0,6.0,unavailable,unavailable,unavailable
81,unavailable,345779,6,1,6.0,unavailable,unavailable,unavailable
82,unavailable,330932,4,1,4.0,unavailable,unavailable,unavailable
83,unavailable,113059,6,0,6.0,unavailable,unavailable,unavailable
84,unavailable,SO/C 14885,6,1,6.0,unavailable,unavailable,unavailable
85,unavailable,3101278,5,1,5.0,unavailable,unavailable,unavailable
86,unavailable,W./C. 6608,1,0,1.0,unavailable,unavailable,unavailable
87,unavailable,SOTON/OQ 392086,4,0,4.0,unavailable,unavailable,unavailable
88,C23 C25 C27,19950,3,1,3.0,unavailable,23.0,C
89,unavailable,343275,6,0,6.0,unavailable,unavailable,unavailable
90,unavailable,343276,4,0,4.0,unavailable,unavailable,unavailable
91,unavailable,347466,3,0,3.0,unavailable,unavailable,unavailable
92,E31,W.E.P. 5734,6,0,6.0,unavailable,31.0,E
93,unavailable,C.A. 2315,A,0,3.5,A,unavailable,unavailable
94,unavailable,364500,1,0,1.0,unavailable,unavailable,unavailable
95,unavailable,374910,6,0,6.0,unavailable,unavailable,unavailable
96,A5,PC 17754,A,0,3.5,A,5.0,A
97,D10 D12,PC 17759,3,1,3.0,unavailable,10.0,D
98,unavailable,231919,6,1,6.0,unavailable,unavailable,unavailable
99,unavailable,244367,2,0,2.0,unavailable,unavailable,unavailable
100,unavailable,349245,5,0,5.0,unavailable,unavailable,unavailable
101,unavailable,349215,3,0,3.0,unavailable,unavailable,unavailable
102,D26,35281,4,0,4.0,unavailable,26.0,D
103,unavailable,7540,4,0,4.0,unavailable,unavailable,unavailable
104,unavailable,3101276,4,0,4.0,unavailable,unavailable,unavailable
105,unavailable,349207,A,0,3.5,A,unavailable,unavailable
106,unavailable,343120,3,1,3.0,unavailable,unavailable,unavailable
107,unavailable,312991,A,1,3.5,A,unavailable,unavailable
108,unavailable,349249,4,0,4.0,unavailable,unavailable,unavailable
109,unavailable,371110,4,1,4.0,unavailable,unavailable,unavailable
110,C110,110465,5,0,5.0,unavailable,110.0,C
111,unavailable,2665,6,0,6.0,unavailable,unavailable,unavailable
112,unavailable,324669,6,0,6.0,unavailable,unavailable,unavailable
113,unavailable,4136,3,0,3.0,unavailable,unavailable,unavailable
114,unavailable,2627,3,0,3.0,unavailable,unavailable,unavailable
115,unavailable,STON/O 2. 3101294,1,0,1.0,unavailable,unavailable,unavailable
116,unavailable,370369,A,0,3.5,A,unavailable,unavailable
117,unavailable,11668,4,0,4.0,unavailable,unavailable,unavailable
118,B58 B60,PC 17558,3,0,3.0,unavailable,58.0,B
119,unavailable,347082,1,0,1.0,unavailable,unavailable,unavailable
120,unavailable,S.O.C. 14879,A,0,3.5,A,unavailable,unavailable
121,unavailable,A4. 54510,6,0,6.0,unavailable,unavailable,unavailable
122,unavailable,237736,A,0,3.5,A,unavailable,unavailable
123,E101,27267,3,1,3.0,unavailable,101.0,E
124,D26,35281,6,0,6.0,unavailable,26.0,D
125,unavailable,2651,4,1,4.0,unavailable,unavailable,unavailable
126,unavailable,370372,1,0,1.0,unavailable,unavailable,unavailable
127,unavailable,C 17369,4,1,4.0,unavailable,unavailable,unavailable
128,F E69,2668,6,1,6.0,unavailable,69.0,F
129,unavailable,347061,A,0,3.5,A,unavailable,unavailable
130,unavailable,349241,5,0,5.0,unavailable,unavailable,unavailable
131,unavailable,SOTON/O.Q. 3101307,2,0,2.0,unavailable,unavailable,unavailable
132,unavailable,A/5. 3337,2,0,2.0,unavailable,unavailable,unavailable
133,unavailable,228414,5,1,5.0,unavailable,unavailable,unavailable
134,unavailable,C.A. 29178,A,0,3.5,A,unavailable,unavailable
135,unavailable,SC/PARIS 2133,1,0,1.0,unavailable,unavailable,unavailable
136,D47,11752,5,1,5.0,unavailable,47.0,D
137,C123,113803,6,0,6.0,unavailable,123.0,C
138,unavailable,7534,5,0,5.0,unavailable,unavailable,unavailable
139,B86,PC 17593,2,0,2.0,unavailable,86.0,B
140,unavailable,2678,2,0,2.0,unavailable,unavailable,unavailable
141,unavailable,347081,1,1,1.0,unavailable,unavailable,unavailable
142,unavailable,STON/O2. 3101279,5,1,5.0,unavailable,unavailable,unavailable
143,unavailable,365222,6,0,6.0,unavailable,unavailable,unavailable
144,unavailable,231945,1,0,1.0,unavailable,unavailable,unavailable
145,unavailable,C.A. 33112,A,0,3.5,A,unavailable,unavailable
146,unavailable,350043,3,1,3.0,unavailable,unavailable,unavailable
147,unavailable,W./C. 6608,5,0,5.0,unavailable,unavailable,unavailable
148,F2,230080,1,0,1.0,unavailable,2.0,F
149,unavailable,244310,2,0,2.0,unavailable,unavailable,unavailable
150,unavailable,S.O.P. 1166,6,0,6.0,unavailable,unavailable,unavailable
151,C2,113776,A,1,3.5,A,2.0,C
152,unavailable,A.5. 11206,1,0,1.0,unavailable,unavailable,unavailable
153,unavailable,A/5. 851,4,0,4.0,unavailable,unavailable,unavailable
154,unavailable,Fa 265302,A,0,3.5,A,unavailable,unavailable
155,unavailable,PC 17597,1,0,1.0,unavailable,unavailable,unavailable
156,unavailable,35851,1,1,1.0,unavailable,unavailable,unavailable
157,unavailable,SOTON/OQ 392090,1,0,1.0,unavailable,unavailable,unavailable
158,unavailable,315037,6,0,6.0,unavailable,unavailable,unavailable
159,unavailable,CA. 2343,3,0,3.0,unavailable,unavailable,unavailable
160,unavailable,371362,3,0,3.0,unavailable,unavailable,unavailable
161,unavailable,C.A. 33595,A,1,3.5,A,unavailable,unavailable
162,unavailable,347068,A,0,3.5,A,unavailable,unavailable
163,unavailable,315093,6,0,6.0,unavailable,unavailable,unavailable
164,unavailable,3101295,4,0,4.0,unavailable,unavailable,unavailable
165,unavailable,363291,2,1,2.0,unavailable,unavailable,unavailable
166,E33,113505,A,1,3.5,A,33.0,E
167,unavailable,347088,4,0,4.0,unavailable,unavailable,unavailable
168,unavailable,PC 17318,3,0,3.0,unavailable,unavailable,unavailable
169,unavailable,1601,A,0,3.5,A,unavailable,unavailable
170,B19,111240,6,0,6.0,unavailable,19.0,B
171,unavailable,382652,1,0,1.0,unavailable,unavailable,unavailable
172,unavailable,347742,1,1,1.0,unavailable,unavailable,unavailable
173,unavailable,STON/O 2. 3101280,A,0,3.5,A,unavailable,unavailable
174,A7,17764,1,0,1.0,unavailable,7.0,A
175,unavailable,350404,A,0,3.5,A,unavailable,unavailable
176,unavailable,4133,4,0,4.0,unavailable,unavailable,unavailable
177,C49,PC 17595,6,0,6.0,unavailable,49.0,C
178,unavailable,250653,6,0,6.0,unavailable,unavailable,unavailable
179,unavailable,LINE,1,0,1.0,unavailable,unavailable,unavailable
180,unavailable,CA. 2343,5,0,5.0,unavailable,unavailable,unavailable
181,unavailable,SC/PARIS 2131,6,0,6.0,unavailable,unavailable,unavailable
182,unavailable,347077,5,0,5.0,unavailable,unavailable,unavailable
183,F4,230136,5,1,5.0,unavailable,4.0,F
184,unavailable,315153,3,1,3.0,unavailable,unavailable,unavailable
185,A32,113767,3,0,3.0,unavailable,32.0,A
186,unavailable,370365,6,1,6.0,unavailable,unavailable,unavailable
187,unavailable,111428,2,1,2.0,unavailable,unavailable,unavailable
188,unavailable,364849,3,0,3.0,unavailable,unavailable,unavailable
189,unavailable,349247,6,0,6.0,unavailable,unavailable,unavailable
190,unavailable,234604,A,1,3.5,A,unavailable,unavailable
191,unavailable,28424,3,0,3.0,unavailable,unavailable,unavailable
192,unavailable,350046,A,1,3.5,A,unavailable,unavailable
193,F2,230080,6,1,6.0,unavailable,2.0,F
194,B4,PC 17610,6,1,6.0,unavailable,4.0,B
195,B80,PC 17569,3,1,3.0,unavailable,80.0,B
196,unavailable,368703,2,0,2.0,unavailable,unavailable,unavailable
197,unavailable,4579,6,0,6.0,unavailable,unavailable,unavailable
198,unavailable,370370,5,1,5.0,unavailable,unavailable,unavailable
199,unavailable,248747,1,0,1.0,unavailable,unavailable,unavailable
200,unavailable,345770,2,0,2.0,unavailable,unavailable,unavailable
201,unavailable,CA. 2343,2,0,2.0,unavailable,unavailable,unavailable
202,unavailable,3101264,2,0,2.0,unavailable,unavailable,unavailable
203,unavailable,2628,A,0,3.5,A,unavailable,unavailable
204,unavailable,A/5 3540,6,1,6.0,unavailable,unavailable,unavailable
205,G6,347054,A,0,3.5,A,6.0,G
206,unavailable,3101278,3,0,3.0,unavailable,unavailable,unavailable
207,unavailable,2699,5,1,5.0,unavailable,unavailable,unavailable
208,unavailable,367231,6,1,6.0,unavailable,unavailable,unavailable
209,A31,112277,6,1,6.0,unavailable,31.0,A
210,unavailable,SOTON/O.Q. 3101311,A,0,3.5,A,unavailable,unavailable
211,unavailable,F.C.C. 13528,3,1,3.0,unavailable,unavailable,unavailable
212,unavailable,A/5 21174,A,0,3.5,A,unavailable,unavailable
213,unavailable,250646,1,0,1.0,unavailable,unavailable,unavailable
214,unavailable,367229,2,0,2.0,unavailable,unavailable,unavailable
215,D36,35273,A,1,3.5,A,36.0,D
216,unavailable,STON/O2. 3101283,4,1,4.0,unavailable,unavailable,unavailable
217,unavailable,243847,A,0,3.5,A,unavailable,unavailable
218,D15,11813,A,1,3.5,A,15.0,D
219,unavailable,W/C 14208,4,0,4.0,unavailable,unavailable,unavailable
220,unavailable,SOTON/OQ 392089,5,1,5.0,unavailable,unavailable,unavailable
221,unavailable,220367,4,0,4.0,unavailable,unavailable,unavailable
222,unavailable,21440,A,0,3.5,A,unavailable,unavailable
223,unavailable,349234,A,0,3.5,A,unavailable,unavailable
224,C93,19943,1,1,1.0,unavailable,93.0,C
225,unavailable,PP 4348,6,0,6.0,unavailable,unavailable,unavailable
226,unavailable,SW/PP 751,3,1,3.0,unavailable,unavailable,unavailable
227,unavailable,A/5 21173,6,0,6.0,unavailable,unavailable,unavailable
228,unavailable,236171,5,0,5.0,unavailable,unavailable,unavailable
229,unavailable,4133,3,0,3.0,unavailable,unavailable,unavailable
230,C83,36973,3,1,3.0,unavailable,83.0,C
231,unavailable,347067,2,0,2.0,unavailable,unavailable,unavailable
232,unavailable,237442,6,0,6.0,unavailable,unavailable,unavailable
233,unavailable,347077,4,1,4.0,unavailable,unavailable,unavailable
234,unavailable,C.A. 29566,6,0,6.0,unavailable,unavailable,unavailable
235,unavailable,W./C. 6609,4,0,4.0,unavailable,unavailable,unavailable
236,unavailable,26707,3,0,3.0,unavailable,unavailable,unavailable
237,unavailable,C.A. 31921,1,1,1.0,unavailable,unavailable,unavailable
238,unavailable,28665,A,0,3.5,A,unavailable,unavailable
239,unavailable,SCO/W 1585,A,0,3.5,A,unavailable,unavailable
240,unavailable,2665,1,0,1.0,unavailable,unavailable,unavailable
241,unavailable,367230,1,1,1.0,unavailable,unavailable,unavailable
242,unavailable,W./C. 14263,5,0,5.0,unavailable,unavailable,unavailable
243,unavailable,STON/O 2. 3101275,A,0,3.5,A,unavailable,unavailable
244,unavailable,2694,1,0,1.0,unavailable,unavailable,unavailable
245,C78,19928,5,0,5.0,unavailable,78.0,C
246,unavailable,347071,A,0,3.5,A,unavailable,unavailable
247,unavailable,250649,2,1,2.0,unavailable,unavailable,unavailable
248,D35,11751,4,1,4.0,unavailable,35.0,D
249,unavailable,244252,5,0,5.0,unavailable,unavailable,unavailable
250,unavailable,362316,4,0,4.0,unavailable,unavailable,unavailable
251,G6,347054,6,0,6.0,unavailable,6.0,G
252,C87,113514,1,0,1.0,unavailable,87.0,C
253,unavailable,A/5. 3336,3,0,3.0,unavailable,unavailable,unavailable
254,unavailable,370129,A,0,3.5,A,unavailable,unavailable
255,unavailable,2650,3,1,3.0,unavailable,unavailable,unavailable
256,unavailable,PC 17585,6,1,6.0,unavailable,unavailable,unavailable
257,B77,110152,4,1,4.0,unavailable,77.0,B
258,unavailable,PC 17755,5,1,5.0,unavailable,unavailable,unavailable
259,unavailable,230433,4,1,4.0,unavailable,unavailable,unavailable
260,unavailable,384461,A,0,3.5,A,unavailable,unavailable
261,unavailable,347077,6,1,6.0,unavailable,unavailable,unavailable
262,E67,110413,4,0,4.0,unavailable,67.0,E
263,B94,112059,6,0,6.0,unavailable,94.0,B
264,unavailable,382649,2,0,2.0,unavailable,unavailable,unavailable
265,unavailable,C.A. 17248,3,0,3.0,unavailable,unavailable,unavailable
266,unavailable,3101295,6,0,6.0,unavailable,unavailable,unavailable
267,unavailable,347083,4,1,4.0,unavailable,unavailable,unavailable
268,C125,PC 17582,3,1,3.0,unavailable,125.0,C
269,C99,PC 17760,3,1,3.0,unavailable,99.0,C
270,unavailable,113798,5,0,5.0,unavailable,unavailable,unavailable
271,unavailable,LINE,3,1,3.0,unavailable,unavailable,unavailable
272,unavailable,250644,1,1,1.0,unavailable,unavailable,unavailable
273,C118,PC 17596,A,0,3.5,A,118.0,C
274,unavailable,370375,2,1,2.0,unavailable,unavailable,unavailable
275,D7,13502,2,1,2.0,unavailable,7.0,D
276,unavailable,347073,1,0,1.0,unavailable,unavailable,unavailable
277,unavailable,239853,4,0,4.0,unavailable,unavailable,unavailable
278,unavailable,382652,2,0,2.0,unavailable,unavailable,unavailable
279,unavailable,C.A. 2673,2,1,2.0,unavailable,unavailable,unavailable
280,unavailable,336439,4,0,4.0,unavailable,unavailable,unavailable
281,unavailable,347464,A,0,3.5,A,unavailable,unavailable
282,unavailable,345778,2,0,2.0,unavailable,unavailable,unavailable
283,unavailable,A/5. 10482,5,1,5.0,unavailable,unavailable,unavailable
284,A19,113056,5,0,5.0,unavailable,19.0,A
285,unavailable,349239,4,0,4.0,unavailable,unavailable,unavailable
286,unavailable,345774,4,1,4.0,unavailable,unavailable,unavailable
287,unavailable,349206,5,0,5.0,unavailable,unavailable,unavailable
288,unavailable,237798,A,1,3.5,A,unavailable,unavailable
289,unavailable,370373,2,1,2.0,unavailable,unavailable,unavailable
290,unavailable,19877,3,1,3.0,unavailable,unavailable,unavailable
291,B49,11967,4,1,4.0,unavailable,49.0,B
292,D,SC/Paris 2163,4,0,4.0,unavailable,unavailable,D
293,unavailable,349236,6,0,6.0,unavailable,unavailable,unavailable
294,unavailable,349233,5,0,5.0,unavailable,unavailable,unavailable
295,unavailable,PC 17612,A,0,3.5,A,unavailable,unavailable
296,unavailable,2693,4,0,4.0,unavailable,unavailable,unavailable
297,C22 C26,113781,5,0,5.0,unavailable,22.0,C
298,C106,19988,3,1,3.0,unavailable,106.0,C
299,B58 B60,PC 17558,1,1,1.0,unavailable,58.0,B
300,unavailable,9234,A,1,3.5,A,unavailable,unavailable
301,unavailable,367226,1,1,1.0,unavailable,unavailable,unavailable
302,unavailable,LINE,2,0,2.0,unavailable,unavailable,unavailable
303,E101,226593,5,1,5.0,unavailable,101.0,E
304,unavailable,A/5 2466,3,0,3.0,unavailable,unavailable,unavailable
305,C22 C26,113781,6,1,6.0,unavailable,22.0,C
306,unavailable,17421,4,1,4.0,unavailable,unavailable,unavailable
307,C65,PC 17758,2,1,2.0,unavailable,65.0,C
308,unavailable,P/PP 3381,3,0,3.0,unavailable,unavailable,unavailable
309,E36,PC 17485,3,1,3.0,unavailable,36.0,E
310,C54,11767,2,1,2.0,unavailable,54.0,C
311,B57 B59 B63 B66,PC 17608,1,1,1.0,unavailable,57.0,B
312,unavailable,250651,5,0,5.0,unavailable,unavailable,unavailable
313,unavailable,349243,2,0,2.0,unavailable,unavailable,unavailable
314,unavailable,F.C.C. 13529,1,0,1.0,unavailable,unavailable,unavailable
315,unavailable,347470,5,1,5.0,unavailable,unavailable,unavailable
316,unavailable,244367,6,1,6.0,unavailable,unavailable,unavailable
317,unavailable,29011,4,0,4.0,unavailable,unavailable,unavailable
318,C7,36928,A,1,3.5,A,7.0,C
319,E34,16966,1,1,1.0,unavailable,34.0,E
320,unavailable,A/5 21172,2,0,2.0,unavailable,unavailable,unavailable
321,unavailable,349219,6,0,6.0,unavailable,unavailable,unavailable
322,unavailable,234818,1,1,1.0,unavailable,unavailable,unavailable
323,unavailable,248738,5,1,5.0,unavailable,unavailable,unavailable
324,unavailable,CA. 2343,1,0,1.0,unavailable,unavailable,unavailable
325,C32,PC 17760,6,1,6.0,unavailable,32.0,C
326,unavailable,345364,4,0,4.0,unavailable,unavailable,unavailable
327,D,28551,5,1,5.0,unavailable,unavailable,D
328,unavailable,363291,2,1,2.0,unavailable,unavailable,unavailable
329,B18,111361,5,1,5.0,unavailable,18.0,B
330,unavailable,367226,5,1,5.0,unavailable,unavailable,unavailable
331,C124,113043,6,0,6.0,unavailable,124.0,C
332,C91,PC 17582,1,0,1.0,unavailable,91.0,C
333,unavailable,345764,1,0,1.0,unavailable,unavailable,unavailable
334,unavailable,PC 17611,4,1,4.0,unavailable,unavailable,unavailable
335,unavailable,349225,6,0,6.0,unavailable,unavailable,unavailable
336,C2,113776,A,0,3.5,A,2.0,C
337,E40,16966,1,1,1.0,unavailable,40.0,E
338,unavailable,7598,3,1,3.0,unavailable,unavailable,unavailable
339,T,113784,4,0,4.0,unavailable,unavailable,T
340,F2,230080,A,1,3.5,A,2.0,F
341,C23 C25 C27,19950,5,1,5.0,unavailable,23.0,C
342,unavailable,248740,A,0,3.5,A,unavailable,unavailable
343,unavailable,244361,2,0,2.0,unavailable,unavailable,unavailable
344,unavailable,229236,2,0,2.0,unavailable,unavailable,unavailable
345,F33,248733,A,1,3.5,A,33.0,F
346,unavailable,31418,6,1,6.0,unavailable,unavailable,unavailable
347,unavailable,386525,2,1,2.0,unavailable,unavailable,unavailable
348,unavailable,C.A. 37671,2,1,2.0,unavailable,unavailable,unavailable
349,unavailable,315088,A,0,3.5,A,unavailable,unavailable
350,unavailable,7267,3,0,3.0,unavailable,unavailable,unavailable
351,C128,113510,4,0,4.0,unavailable,128.0,C
352,unavailable,2695,5,0,5.0,unavailable,unavailable,unavailable
353,unavailable,349237,5,0,5.0,unavailable,unavailable,unavailable
354,unavailable,2647,5,0,5.0,unavailable,unavailable,unavailable
355,unavailable,345783,4,0,4.0,unavailable,unavailable,unavailable
356,E33,113505,1,1,1.0,unavailable,33.0,E
357,unavailable,237671,6,0,6.0,unavailable,unavailable,unavailable
358,unavailable,330931,2,1,2.0,unavailable,unavailable,unavailable
359,unavailable,330980,6,1,6.0,unavailable,unavailable,unavailable
360,unavailable,347088,3,0,3.0,unavailable,unavailable,unavailable
361,unavailable,SC/PARIS 2167,A,0,3.5,A,unavailable,unavailable
362,unavailable,2691,6,0,6.0,unavailable,unavailable,unavailable
363,unavailable,SOTON/O.Q. 3101310,3,0,3.0,unavailable,unavailable,unavailable
364,unavailable,370365,2,0,2.0,unavailable,unavailable,unavailable
365,unavailable,C 7076,3,0,3.0,unavailable,unavailable,unavailable
366,D37,110813,5,1,5.0,unavailable,37.0,D
367,unavailable,2626,3,1,3.0,unavailable,unavailable,unavailable
368,unavailable,14313,3,1,3.0,unavailable,unavailable,unavailable
369,B35,PC 17477,2,1,2.0,unavailable,35.0,B
370,E50,11765,5,1,5.0,unavailable,50.0,E
371,unavailable,3101267,2,0,2.0,unavailable,unavailable,unavailable
372,unavailable,323951,3,0,3.0,unavailable,unavailable,unavailable
373,unavailable,PC 17760,A,0,3.5,A,unavailable,unavailable
374,unavailable,349909,1,0,1.0,unavailable,unavailable,unavailable
375,unavailable,PC 17604,1,1,1.0,unavailable,unavailable,unavailable
376,unavailable,C 7077,2,1,2.0,unavailable,unavailable,unavailable
377,C82,113503,2,0,2.0,unavailable,82.0,C
378,unavailable,2648,2,0,2.0,unavailable,unavailable,unavailable
379,unavailable,347069,5,0,5.0,unavailable,unavailable,unavailable
380,unavailable,PC 17757,5,1,5.0,unavailable,unavailable,unavailable
381,unavailable,2653,3,1,3.0,unavailable,unavailable,unavailable
382,unavailable,STON/O 2. 3101293,1,0,1.0,unavailable,unavailable,unavailable
383,unavailable,113789,4,1,4.0,unavailable,unavailable,unavailable
384,unavailable,349227,3,0,3.0,unavailable,unavailable,unavailable
385,unavailable,S.O.C. 14879,4,0,4.0,unavailable,unavailable,unavailable
386,unavailable,CA 2144,6,0,6.0,unavailable,unavailable,unavailable
387,unavailable,27849,4,1,4.0,unavailable,unavailable,unavailable
388,unavailable,367655,6,0,6.0,unavailable,unavailable,unavailable
389,unavailable,SC 1748,5,1,5.0,unavailable,unavailable,unavailable
390,B96 B98,113760,4,1,4.0,unavailable,96.0,B
391,unavailable,350034,6,1,6.0,unavailable,unavailable,unavailable
392,unavailable,3101277,1,0,1.0,unavailable,unavailable,unavailable
393,D36,35273,1,1,1.0,unavailable,36.0,D
394,G6,PP 9549,6,1,6.0,unavailable,6.0,G
395,unavailable,350052,3,0,3.0,unavailable,unavailable,unavailable
396,unavailable,350407,2,0,2.0,unavailable,unavailable,unavailable
397,unavailable,28403,2,0,2.0,unavailable,unavailable,unavailable
398,unavailable,244278,5,0,5.0,unavailable,unavailable,unavailable
399,unavailable,240929,1,1,1.0,unavailable,unavailable,unavailable
400,unavailable,STON/O 2. 3101289,3,1,3.0,unavailable,unavailable,unavailable
401,unavailable,341826,2,0,2.0,unavailable,unavailable,unavailable
402,unavailable,4137,3,0,3.0,unavailable,unavailable,unavailable
403,unavailable,STON/O2. 3101279,3,0,3.0,unavailable,unavailable,unavailable
404,unavailable,315096,A,0,3.5,A,unavailable,unavailable
405,unavailable,28664,2,0,2.0,unavailable,unavailable,unavailable
406,unavailable,347064,4,0,4.0,unavailable,unavailable,unavailable
407,unavailable,29106,A,1,3.5,A,unavailable,unavailable
408,unavailable,312992,A,0,3.5,A,unavailable,unavailable
409,unavailable,4133,5,0,5.0,unavailable,unavailable,unavailable
410,unavailable,349222,A,0,3.5,A,unavailable,unavailable
411,unavailable,394140,1,0,1.0,unavailable,unavailable,unavailable
412,C78,19928,2,1,2.0,unavailable,78.0,C
413,unavailable,239853,5,0,5.0,unavailable,unavailable,unavailable
414,unavailable,STON/O 2. 3101269,6,1,6.0,unavailable,unavailable,unavailable
415,unavailable,343095,A,0,3.5,A,unavailable,unavailable
416,unavailable,28220,6,1,6.0,unavailable,unavailable,unavailable
417,unavailable,250652,4,1,4.0,unavailable,unavailable,unavailable
418,unavailable,28228,1,0,1.0,unavailable,unavailable,unavailable
419,unavailable,345773,3,0,3.0,unavailable,unavailable,unavailable
420,unavailable,349254,4,0,4.0,unavailable,unavailable,unavailable
421,unavailable,A/5. 13032,3,0,3.0,unavailable,unavailable,unavailable
422,unavailable,315082,2,0,2.0,unavailable,unavailable,unavailable
423,unavailable,347080,2,0,2.0,unavailable,unavailable,unavailable
